规则编号,适用方向,依据字段,匹配方式,关键词,排除关键词,对手名称含,一级标签,二级标签,三级标签,优先级,备注
R0210,支出,摘要或备注,包含,旅行,,,经营类,人力成本,其他职工成本,920,词库
R0211,支出,摘要或备注,包含,员工费,,,经营类,人力成本,其他职工成本,920,词库
R0212,支出,摘要或备注,包含,责任险,,,经营类,人力成本,其他职工成本,920,词库
R0213,支出,摘要或备注,包含,团费,,,经营类,人力成本,其他职工成本,920,词库
R0214,支出,摘要或备注,包含,节日费,,,经营类,人力成本,其他职工成本,920,词库
R0215,支出,摘要或备注,包含,奖励,,,经营类,人力成本,其他职工成本,920,词库
R0216,支出,摘要或备注,包含,猎聘,,,经营类,人力成本,其他职工成本,920,词库
R0217,支出,摘要或备注,包含,体检,,,经营类,人力成本,其他职工成本,920,词库
R0218,支出,摘要或备注,包含,网聘,,,经营类,人力成本,其他职工成本,920,词库
R0219,支出,摘要或备注,包含,节费,,,经营类,人力成本,其他职工成本,920,词库
R0220,支出,摘要或备注,包含,养老款,,,经营类,人力成本,其他职工成本,920,词库
R0221,支出,摘要或备注,包含,端午费,,,经营类,人力成本,其他职工成本,920,词库
R0222,支出,摘要或备注,包含,春节费,,,经营类,人力成本,其他职工成本,920,词库
R0223,支出,摘要或备注,包含,中秋费,,,经营类,人力成本,其他职工成本,920,词库
R0224,支出,摘要或备注,包含,生活费,,,经营类,人力成本,其他职工成本,920,词库
R0225,支出,摘要或备注,包含,值班,,,经营类,人力成本,其他职工成本,920,词库
R0226,支出,摘要或备注,包含,自助餐,,,经营类,人力成本,其他职工成本,920,词库
R0227,支出,摘要或备注,包含,带班,,,经营类,人力成本,其他职工成本,920,词库
R0228,支出,摘要或备注,包含,应酬费,,,经营类,人力成本,其他职工成本,920,词库
R0229,支出,摘要或备注,包含,台班,,,经营类,人力成本,其他职工成本,920,词库
R0230,支出,摘要或备注,包含,工班,,,经营类,人力成本,其他职工成本,920,词库
R0231,支出,摘要或备注,包含,餐款,,,经营类,人力成本,其他职工成本,920,词库
R0232,支出,摘要或备注,包含,餐宿,,,经营类,人力成本,其他职工成本,920,词库
R0233,支出,摘要或备注,包含,旅游,,,经营类,人力成本,其他职工成本,920,词库
R0234,支出,摘要或备注,包含,餐票,,,经营类,人力成本,其他职工成本,920,词库
R0235,支出,摘要或备注,包含,早餐,,,经营类,人力成本,其他职工成本,920,词库
R0236,支出,摘要或备注,包含,套餐,,,经营类,人力成本,其他职工成本,920,词库
R0237,支出,摘要或备注,包含,月餐,,,经营类,人力成本,其他职工成本,920,词库
R0238,支出,摘要或备注,包含,工作餐,,,经营类,人力成本,其他职工成本,920,词库
R0239,支出,摘要或备注,包含,餐补,,,经营类,人力成本,其他职工成本,920,词库
R0240,支出,摘要或备注,包含,快餐,,,经营类,人力成本,其他职工成本,920,词库
R0241,支出,摘要或备注,包含,餐食费,,,经营类,人力成本,其他职工成本,920,词库
R0242,支出,摘要或备注,包含,餐券,,,经营类,人力成本,其他职工成本,920,词库
R0243,支出,摘要或备注,包含,餐食,,,经营类,人力成本,其他职工成本,920,词库
R0244,支出,摘要或备注,包含,修整费,,,经营类,人力成本,其他职工成本,920,词库
R0245,支出,摘要或备注,包含,夜班,,,经营类,人力成本,其他职工成本,920,词库
R0246,支出,摘要或备注,包含,餐饮费,,,经营类,人力成本,其他职工成本,920,词库
R0247,收入,摘要或备注,包含,零钱通,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0248,支出,摘要或备注,包含,零钱通,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0249,收入,摘要或备注,包含,零钱宝,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0250,支出,摘要或备注,包含,零钱宝,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0251,收入,摘要或备注,包含,余额宝,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0252,支出,摘要或备注,包含,余额宝,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0253,收入,摘要或备注,包含,理财通,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0254,支出,摘要或备注,包含,理财通,,,内部调拨类,自有资金调拨,类现金余额产品调拨,910,词库
R0255,收入,摘要或备注,包含,股东增资,,,筹资类,吸收投资,股东增资,910,词库
R0256,收入,摘要或备注,包含,股东注资,,,筹资类,吸收投资,股东增资,910,词库
R0257,收入,摘要或备注,包含,股东投资,,,筹资类,吸收投资,股东增资,910,词库
R0258,收入,摘要或备注,包含,股东股资,,,筹资类,吸收投资,股东增资,910,词库
R0259,支出,摘要或备注,包含,话费,,,经营类,运营成本,其他运营成本,910,词库
R0260,支出,摘要或备注,包含,排水,,,经营类,运营成本,其他运营成本,910,词库
R0261,支出,摘要或备注,包含,垃圾,,,经营类,运营成本,其他运营成本,910,词库
R0262,支出,摘要或备注,包含,废物,,,经营类,运营成本,其他运营成本,910,词库
R0263,支出,摘要或备注,包含,污水,,,经营类,运营成本,其他运营成本,910,词库
R0264,支出,摘要或备注,包含,排污,,,经营类,运营成本,其他运营成本,910,词库
R0265,支出,摘要或备注,包含,消杀,,,经营类,运营成本,其他运营成本,910,词库
